STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AK,383,289,268,217,223,238,310,407,526,518,407,431
AL,515,520,542,432,442,466,514,413,394,345,482,492
AR,360,387,468,477,537,410,375,291,378,469,499,479
AS,1782,1644,1503,1441,1441,946,960,1006,1166,1507,1583,1847
AZ,130,127,117,52,33,26,189,226,128,98,88,124
CA,440,438,353,166,91,31,12,17,40,131,271,414
CO,74,76,129,158,181,160,208,215,145,131,96,82
CT,363,326,433,439,424,447,426,427,419,468,434,407
DE,333,291,424,377,399,396,446,404,443,358,348,366
FL,297,306,397,278,350,751,690,760,685,401,274,261
FM,1007,828,935,1096,1188,1302,1437,1438,1297,1170,1090,1118
GA,460,449,489,346,335,466,499,468,405,334,373,410
GU,476,419,281,342,421,675,1138,1545,1205,1061,881,591
HI,564,458,629,490,349,288,416,376,369,454,633,651
IA,92,103,212,350,451,495,449,419,334,258,204,134
ID,180,139,163,155,189,153,75,69,90,129,195,199
IL,208,206,292,375,459,421,410,366,326,323,345,268
IN,259,239,323,395,488,428,438,358,320,326,366,314
KS,79,108,227,287,446,452,386,346,289,250,159,112
KY,357,373,423,413,530,425,444,350,337,337,392,433
LA,530,509,478,439,483,592,506,464,447,481,484,545
MA,367,343,452,428,398,414,396,392,395,447,436,410
MD,316,289,392,357,419,387,412,368,403,341,350,343
ME,323,283,360,388,381,410,381,362,379,437,452,380
MH,653,545,615,816,882,930,1060,983,1052,1086,1092,922
MI,196,160,201,280,321,330,320,339,364,317,283,222
MN,79,68,150,251,331,433,394,380,334,251,158,95
MO,204,227,329,413,520,468,424,365,410,357,360,276
MP,418,388,244,368,348,494,989,1253,1204,1144,725,496
MS,515,532,524,500,507,466,480,417,381,404,487,565
MT,69,57,88,134,232,252,159,124,127,108,84,74
NC,399,368,434,354,392,454,507,508,472,349,359,368
ND,48,45,85,125,254,335,287,207,171,147,71,51
NE,51,65,164,253,387,391,328,295,234,189,112,68
NH,312,293,368,384,398,433,424,414,378,452,419,365
NJ,345,285,414,411,408,417,463,416,416,408,373,388
NM,67,64,80,75,108,130,235,265,170,130,76,83
NV,98,96,98,79,82,57,46,52,55,71,82,95
NY,287,243,316,351,369,413,404,385,400,390,365,329
OH,263,229,304,354,436,405,416,342,312,288,324,296
OK,161,187,312,333,498,463,290,300,367,363,257,213
ON,160,205,200,286,359,310,366,238,229,209,338,272
OR,522,402,390,298,239,159,58,62,114,269,556,599
PA,301,258,342,363,408,429,426,381,405,346,364,330
PR,341,278,305,520,757,476,523,647,838,845,692,425
PW,1074,927,858,833,1259,1790,1742,1354,1228,1224,1176,1184
RI,388,349,512,460,368,395,342,394,392,416,459,435
SC,409,379,424,313,330,467,494,532,427,358,330,372
SD,46,55,124,215,315,349,284,228,207,177,82,51
TN,434,453,481,454,546,440,470,353,380,347,466,526
TX,188,206,245,225,364,381,256,249,311,343,242,214
UM,267,228,235,246,164,144,277,389,392,387,343,259
UT,120,120,139,131,132,82,86,104,121,149,116,122
VA,324,297,384,350,415,388,445,396,401,322,346,333
VI,242,164,153,264,397,265,324,337,516,527,580,336
VT,296,260,314,341,389,427,447,442,384,436,385,343
WA,571,390,395,292,235,181,88,91,156,357,638,567
WI,117,109,183,305,357,423,404,403,368,281,221,150
WV,334,314,394,375,484,428,494,383,344,299,354,348
WY,55,57,89,136,207,174,130,101,119,112,75,63
